epoch,cycle_id,beta,train_loss,train_rec,train_kl,val_rec,dreams_kept,seconds,lambda,kid_mean,kid_std
0,1,,,,,,3500,0.0,0.1,,
1,1,0.5,141.31138561197918,98.49278668891058,85.63719832085503,93.60249515380859,3500,34.91611433029175,0.1,,
2,1,0.8500000000000001,161.66977827148438,104.2879687093099,67.50800914984809,106.42768345947266,3500,30.945197582244873,0.1,,
3,1,1.2000000000000002,178.74683807237415,112.36328254258898,55.319627264404296,110.82058979492187,3500,30.19758677482605,0.1,,
4,1,1.55,193.3816698730469,120.79597495117187,46.82948197835287,124.21782720947266,3500,31.599722146987915,0.1,,
5,1,1.9000000000000001,205.83942535264757,129.05891979166665,40.41079295043945,130.3914921875,3500,32.84344983100891,0.1,,
5,2,,,,,,3500,0.0,0.1,,
6,2,2.25,215.1288639594184,135.7550175889757,35.277265105523,141.33450209960938,3500,30.715397596359253,0.1,,
7,2,2.6,224.9624101264106,142.9582937472873,31.540045920477972,152.48848739013673,3500,30.667858600616455,0.1,,
8,2,2.9499999999999997,233.64677610677083,149.29192285970052,28.594864942084417,153.64127553710938,3500,31.423566102981567,0.1,,
9,2,3.3000000000000003,243.0487480685764,156.25462122938367,26.301250954182944,163.59003979492186,3500,32.5461311340332,0.1,,
10,2,3.65,250.89843375108507,162.2152901801215,24.296751046413846,169.12613947753906,3500,31.512343168258667,0.1,,
10,3,,,,,,3500,0.0,0.1,0.3058006763458252,1.6483078013607155e-07
11,3,4.0,255.37833599175346,165.77501404622396,22.40083048095703,174.44975092773439,3500,42.795313358306885,0.1,,
12,3,4.0,254.79053740234374,165.87518179253473,22.228838908555772,178.77646611328126,3500,31.207158088684082,0.1,,
13,3,4.0,253.93895998535157,165.46392867296007,22.118757870144314,174.09250043945312,3500,30.80711793899536,0.1,,
